abs	[#number#]abs(<#mixed $number#>)
classkit_method_add	[#bool#]classkit_method_add(<#string $classname#>,<#string $methodname#>,<#string $args#>,<#string $code#>,<#int $flags#>)
classkit_method_copy	[#bool#]classkit_method_copy(<#string $dClass#>,<#string $dMethod#>,<#string $sClass#>,<#string $sMethod#>)
classkit_method_redefine	[#bool#]classkit_method_redefine(<#string $classname#>,<#string $methodname#>,<#string $args#>,<#string $code#>,<#int $flags#>)
classkit_method_remove	[#bool#]classkit_method_remove(<#string $classname#>,<#string $methodname#>)
classkit_method_rename	[#bool#]classkit_method_rename(<#string $classname#>,<#string $methodname#>,<#string $newname#>)
class_parents	[#array#]class_parents(<#mixed $class#>,<#bool $autoload#>)
class_uses	[#array#]class_uses(<#mixed $class#>,<#bool $autoload#>)
clearstatcache	[#void#]clearstatcache(<#bool $clear_realpath_cache#>,<#string $filename#>)
cli_get_process_title	[#string#]cli_get_process_title()
cli_set_process_title	[#bool#]cli_set_process_title(<#string $title#>)
closedir	[#void#]closedir(<#resource $dir_handle#>)
closelog	[#bool#]closelog()
com_create_guid	[#string#]com_create_guid()
com_event_sink	[#bool#]com_event_sink(<#variant $comobject#>,<#object $sinkobject#>,<#mixed $sinkinterface#>)
com_get_active_object	[#variant#]com_get_active_object(<#string $progid#>,<#int $code_page#>)
com_load_typelib	[#bool#]com_load_typelib(<#string $typelib_name#>,<#bool $case_insensitive#>)
com_message_pump	[#bool#]com_message_pump(<#int $timeoutms#>)
compact	[#array#]compact(<#mixed $varname#>,<#mixed $...#>)
com_print_typeinfo	[#bool#]com_print_typeinfo(<#object $comobject#>,<#string $dispinterface#>,<#bool $wantsink#>)
connection_aborted	[#int#]connection_aborted()
connection_status	[#int#]connection_status()
constant	[#mixed#]constant(<#string $name#>)
